epoch,aux_out_acc,aux_out_loss,loss,main_out_acc,main_out_loss,val_aux_out_acc,val_aux_out_loss,val_loss,val_main_out_acc,val_main_out_loss
0,0.667453374377199,0.5890982619572334,0.6973517327982988,0.6727128984890898,0.5795320791172968,0.6703560479521646,0.5824665047764352,0.6838817977601984,0.6788735820524948,0.5673884953929896
1,0.6706693663354305,0.5787222537990402,0.6813657542674846,0.6786404832218924,0.565621302249316,0.6707710139140106,0.5809390141901518,0.6809264910531084,0.681130853794386,0.5647386868711745
2,0.6721745149631614,0.5762762232189867,0.6758753567459773,0.6813154086799208,0.56062011078143,0.6682454452141047,0.5812939686998342,0.6790069173439183,0.6810843489882931,0.5627481223530558
3,0.6731806303556744,0.5746645315396308,0.6716065303948758,0.6839000073331435,0.5566736229856708,0.6714363903706292,0.5816634450070752,0.6785363887083881,0.6819715175968335,0.5622036982793579
4,0.6737529982241908,0.5736991937981774,0.6683822515102814,0.6856457293311323,0.5536424116504546,0.6668932285426102,0.5826452432521141,0.6821472996696791,0.6732321913423427,0.5656182497135197
5,0.6745775656840043,0.5729278896257478,0.6656431693707949,0.6876597487661723,0.5510575902352387,0.6689895221095646,0.5819926300789514,0.6802469229802746,0.6787447995127586,0.5638483957083434
6,0.675297497142419,0.5722494873530672,0.6633053355888712,0.6896988092957564,0.5488554370236101,0.6707495501575657,0.5822948511113413,0.6824083922832939,0.6790846423263007,0.5659494203238531
7,0.6756409178633157,0.5717158789060971,0.6603900520572982,0.6914651007634679,0.5460468751347778,0.6702666156307296,0.5829202187996891,0.683317728536658,0.6793887122122925,0.5667336834280403
8,0.6758716536600965,0.5712756129674177,0.6582144224686629,0.693446030181993,0.5439592987631967,0.6669755062764667,0.5831984151463064,0.6845367009055995,0.6736328481335097,0.5678970166934181
9,0.6767364657360541,0.5709027084411348,0.6555901583945726,0.695088904828064,0.5414096157002285,0.667966416375522,0.582638311153098,0.6849193387186765,0.6752497844702424,0.5683916751531939
10,0.6771541154148297,0.5705138068658859,0.6533346151062766,0.696991133663995,0.5392318525627361,0.6656411760708798,0.583602740923077,0.6901283986215156,0.6698623815469995,0.5734078490627617
